customer_id,date,amount
C0103,2026-01-12,20.13
C0072,2025-08-05,55.42
C0122,2025-08-31,12.99
C0088,2025-05-08,17.71
C0131,2025-06-27,12.9
C0344,2025-11-18,10.04
C0956,2025-11-01,58.05
C0314,2025-02-19,10.35
C0857,2025-03-18,47.2
C0511,2025-07-17,12.39
C0700,2025-10-26,40.45
C0687,2025-03-20,34.1
C0244,2025-12-14,41.44
C0485,2025-12-01,67.02
C0841,2025-07-14,10.67
C0601,2025-12-10,51.42
C0777,2026-01-09,15.14
C0340,2025-04-30,39.0
C0455,2025-10-19,11.75
C0206,2025-04-19,24.97
C0872,2025-01-30,37.68
C0566,2025-05-14,51.93
C0477,2025-08-07,102.35
C0556,2025-07-09,35.14
C0996,2025-10-25,74.96
C0271,2025-08-31,46.79
C0702,2025-11-20,103.07
C0749,2026-01-01,48.79
C0792,2025-09-02,26.49
C0380,2025-03-10,27.57
C0813,2025-04-03,10.79
C0521,2026-01-07,35.12
C0648,2025-04-01,94.49
C0593,2025-07-10,88.07
C0379,2025-10-16,140.39
C0041,2025-02-25,109.43
C0840,2025-10-23,30.09
C0048,2025-03-31,29.67
C0099,2025-07-19,60.74
C0987,2025-03-04,41.95
C0613,2025-06-08,81.52
C0218,2025-10-10,24.79
C0795,2025-08-23,37.89
C0554,2025-07-26,11.6
C0743,2025-09-26,28.87
C0096,2025-09-07,17.5
C0231,2025-09-22,48.81
C0541,2025-03-05,153.11
C0839,2025-08-03,69.34
C0796,2025-04-04,58.96
C0574,2025-06-11,40.49
C0620,2025-03-13,36.94
C0958,2025-12-25,29.6
C0348,2025-09-16,128.67
C0385,2025-11-07,37.85
C0628,2025-09-18,28.18
C0710,2025-06-14,43.16
C0225,2025-12-01,25.7
C0664,2025-12-09,29.52
C0608,2025-09-18,35.86
C0830,2025-03-21,24.18
C0807,2025-05-21,18.01
C0952,2025-04-19,25.52
C0002,2025-06-07,36.47
C0855,2025-09-09,129.44
C0403,2025-06-03,17.83
C0684,2025-09-03,222.2
C0416,2025-10-02,65.76
C0203,2025-07-31,23.57
C0767,2025-11-18,32.93
C0884,2025-05-06,60.19
C0907,2025-09-25,90.06
C0201,2025-06-01,45.48
C0464,2026-01-12,107.72
C0764,2026-01-09,45.88
C0147,2025-06-25,61.81
C0820,2025-06-05,46.46
C0872,2025-06-06,66.3
C0953,2025-06-28,48.98
C0298,2025-05-07,22.97
C0144,2026-01-09,211.34
C0572,2025-01-30,289.35
C0254,2025-06-17,50.86
C0160,2025-02-06,26.35
C0659,2025-11-28,103.76
C0404,2025-06-29,35.92
C0673,2025-05-24,14.39
C0968,2025-05-12,56.62
C0227,2025-05-20,15.35
C0099,2025-06-30,10.25
C0896,2026-01-01,43.24
C0163,2025-08-24,269.77
C0996,2025-07-08,10.91
C0398,2025-11-01,19.85
C0504,2025-06-12,73.82
C0640,2025-03-02,49.1
C0955,2025-02-19,23.99
C0038,2025-09-15,34.97
C0438,2025-10-19,59.87
C0226,2025-11-01,44.92
C0284,2025-12-11,44.58
C0516,2025-03-04,83.17
C0512,2025-02-14,270.61
C0158,2025-03-15,133.18
C0099,2025-09-18,162.96
C0349,2025-11-26,180.04
C0099,2025-08-04,105.87
C0191,2025-10-08,34.31
C0983,2025-07-08,29.06
C0128,2025-02-15,50.69
C0735,2025-03-23,69.54
C0872,2025-07-21,15.11
C0288,2026-01-05,32.21
C0639,2025-07-02,27.5
C0986,2025-10-28,104.41
C0393,2025-11-23,71.71
C0039,2025-07-17,92.87
C0867,2025-11-30,110.9
C0525,2025-12-10,45.8
C0825,2025-03-05,90.05
C0321,2025-10-19,70.53
C0400,2025-06-19,120.37
C0471,2025-06-20,33.55
C0834,2025-11-12,53.17
C0854,2025-03-20,41.33
C0575,2025-08-06,26.88
C0314,2025-03-27,11.55
