action_id,segment,applied,outcome,timestamp
act_retention_001,At Risk,yes,positive,2025-01-20T10:00:00
act_growth_001,Potential Loyalists,no,unknown,2025-01-21T14:30:00
act_retention_001,At Risk,yes,unknown,2026-01-29T12:43:47.225923
act_retention_001,At Risk,no,unknown,2026-01-29T12:47:08.951056
act_retention_001,At Risk,no,unknown,2026-01-30T14:32:50.045505
act_retention_001,At Risk,no,unknown,2026-01-30T14:32:59.645866
act_retention_001,At Risk,no,unknown,2026-01-30T14:33:01.894425
act_retention_001,At Risk,yes,unknown,2026-01-30T14:35:57.487387
act_retention_001,At Risk,yes,unknown,2026-01-30T15:00:50.686841
act_retention_001,At Risk,no,unknown,2026-01-30T15:00:55.811982
act_retention_001,At Risk,no,unknown,2026-01-30T15:00:58.469333
act_retention_001,At Risk,yes,unknown,2026-01-30T15:01:05.850967
act_retention_001,At Risk,yes,unknown,2026-01-30T15:01:07.739095
act_retention_001,At Risk,yes,unknown,2026-01-30T15:01:09.870555
act_retention_001,At Risk,yes,unknown,2026-01-30T15:01:12.483732
act_retention_001,At Risk,yes,unknown,2026-01-30T15:01:15.673275
act_retention_001,At Risk,yes,unknown,2026-01-30T15:01:18.772097
act_retention_001,At Risk,yes,unknown,2026-01-30T15:01:20.117880
act_retention_001,At Risk,yes,unknown,2026-01-30T15:01:33.837242
act_retention_001,At Risk,yes,unknown,2026-01-30T15:01:37.126091
act_retention_001,At Risk,no,unknown,2026-01-30T15:01:40.304108
act_retention_001,At Risk,yes,unknown,2026-01-30T15:34:52.934297
act_retention_001,At Risk,yes,unknown,2026-01-30T15:34:52.934316
act_retention_001,At Risk,yes,unknown,2026-01-31T01:17:23.270800
act_retention_001,At Risk,yes,unknown,2026-01-31T01:24:17.403656
act_retention_001,At Risk,yes,unknown,2026-01-31T01:24:40.487745
act_retention_001,At Risk,yes,unknown,2026-01-31T01:24:45.714143
act_retention_001,At Risk,yes,unknown,2026-01-31T01:30:56.250811
act_retention_001,At Risk,yes,unknown,2026-01-31T01:31:00.878466
act_retention_001,At Risk,yes,unknown,2026-01-31T01:31:12.216024
act_retention_001,At Risk,yes,unknown,2026-01-31T01:31:13.441741
act_retention_001,At Risk,yes,unknown,2026-01-31T01:31:20.472574
act_retention_001,At Risk,no,unknown,2026-01-31T01:31:27.541023
act_retention_001,At Risk,yes,unknown,2026-01-31T01:31:47.377772
act_retention_001,At Risk,no,unknown,2026-01-31T01:31:53.701107
act_retention_001,At Risk,yes,unknown,2026-01-31T01:32:13.172936
act_retention_001,At Risk,no,unknown,2026-01-31T01:35:36.699704
