customer_id,transaction_date,amount
C0102,2024-12-14,30.26
C0071,2024-07-07,100.84
C0121,2024-08-02,15.98
C0087,2024-04-09,25.42
C0130,2024-05-29,15.81
C0343,2024-10-20,10.08
C0443,2024-10-03,106.1
C0313,2024-01-22,10.71
C0344,2024-02-18,84.4
C0169,2024-07-06,55.63
C0189,2024-06-23,106.33
C0363,2024-02-24,418.82
C0130,2024-11-02,124.04
C0328,2024-06-15,11.34
C0088,2024-11-11,92.85
C0264,2024-12-11,20.28
C0339,2024-04-01,68.01
C0454,2024-09-20,13.5
C0205,2024-03-21,39.95
C0359,2024-01-02,65.37
C0053,2024-04-15,93.86
C0476,2024-07-09,194.7
C0043,2024-06-10,60.28
C0483,2024-09-26,139.93
C0270,2024-08-02,83.57
C0189,2024-10-22,196.13
C0236,2024-12-03,87.59
C0279,2024-08-04,42.98
C0379,2024-02-10,45.14
C0300,2024-03-05,11.58
C0008,2024-12-09,60.23
C0135,2024-03-03,178.99
C0080,2024-06-11,166.15
C0378,2024-09-17,270.78
C0040,2024-01-28,208.85
C0327,2024-09-24,50.18
C0047,2024-03-02,49.33
C0098,2024-06-20,111.49
C0474,2024-02-04,73.91
C0100,2024-05-10,153.04
C0217,2024-09-11,39.58
C0282,2024-07-25,65.78
C0041,2024-06-27,13.19
C0230,2024-08-28,47.74
C0095,2024-08-09,25.0
C0230,2024-08-24,87.62
C0028,2024-02-05,296.21
C0326,2024-07-05,128.67
C0283,2024-03-06,107.91
C0061,2024-05-13,70.98
C0107,2024-02-13,63.87
C0445,2024-11-26,49.21
C0347,2024-08-18,247.33
C0384,2024-10-09,65.71
C0115,2024-08-20,46.35
C0197,2024-05-16,76.33
C0224,2024-11-02,41.39
C0151,2024-11-10,49.04
C0095,2024-08-20,61.72
C0317,2024-02-21,38.35
C0294,2024-04-22,26.03
C0439,2024-03-21,41.03
C0001,2024-05-09,62.94
C0342,2024-08-11,248.89
C0402,2024-05-05,25.65
C0171,2024-08-05,434.4
C0415,2024-09-03,121.52
C0202,2024-07-02,37.13
C0254,2024-10-20,55.85
C0371,2024-04-07,110.38
C0394,2024-08-27,170.12
C0200,2024-05-03,80.97
C0463,2024-12-14,205.45
C0251,2024-12-11,81.76
C0146,2024-05-27,113.61
C0307,2024-05-07,82.93
C0359,2024-05-08,122.61
C0440,2024-05-30,87.97
C0297,2024-04-08,35.95
C0143,2024-12-11,412.68
C0499,2024-02-29,40.22
C0384,2024-10-30,346.45
C0452,2024-02-06,224.25
C0008,2024-08-20,52.96
C0303,2024-07-26,237.41
C0151,2024-02-23,161.36
C0407,2024-04-25,18.79
C0455,2024-04-13,103.25
C0226,2024-04-21,20.7
C0098,2024-06-01,10.51
C0383,2024-12-03,76.48
C0162,2024-07-26,529.53
C0483,2024-06-09,11.82
C0397,2024-10-03,29.7
C0383,2024-05-14,137.63
C0127,2024-02-02,88.21
C0442,2024-01-22,37.97
C0037,2024-08-17,59.94
C0437,2024-09-20,109.73
C0225,2024-10-03,79.84
C0283,2024-11-12,79.15
C0003,2024-02-04,156.34
C0016,2024-06-20,292.11
C0476,2024-02-15,256.35
C0098,2024-08-20,315.91
C0348,2024-10-28,350.08
C0098,2024-07-06,201.74
C0190,2024-09-09,58.63
C0470,2024-06-09,48.11
C0127,2024-01-18,91.37
C0222,2024-02-23,129.08
C0359,2024-06-22,20.22
